Ids,text,sentiment
31,"હિંસક વિરોધ પ્રદર્શનથી કોઇને ધ્યેય પ્રાપ્ત થયા નથી વિજયાદશમીના સંબોધનમાં સરસંઘચાલકજીએ ભારતના પાડોશી દેશોની પ્રવર્તમાન સ્થિતિ વિશે બોલ્યા. તેમણે કહ્યું કે, તાજેતરના વર્ષોમાં આપણા આસપાસના દેશો નોંધપાત્ર અશાંતિનો અનુભવ કરી રહ્યા છે. શ્રીલંકા, બાંગ્લાદેશ અને તાજેતરમાં નેપાળમાં સત્તા પરિવર્તન તરફ દોરી ગયેલો હિંસક જાહેર આક્રોશ ચિંતાજનક છે. સમાન અશાંતિ ઇચ્છતા પરિબળો ભારતમાં આપણા દેશમાં અને વૈશ્વિક સ્તરે સક્રિય છે. RSS100Years rss100वरष RSS RSSNewHorizons SanghYatra VijayaDasami Vijayadashami2025 dashara mohanjibhagwat सघशतबदवरष वजयदशम वजयदशम_उतसव",positive
32,"પશુવૃત્ત, ઘોર પાસાણવાદી, હિંસક, શોષણખોર અને અસ્ત વ્યસ્ત સમાજ વ્યવસ્થામાં જીવતી માનવ જાતને અહિસંક, શોષણ મુક્ત, સમાનતા, બંધુત્વ અને સ્વતંત્રતાના મુલ્યો વાળી સમાજ વ્યવસ્થા તરફ લઈ જવાના સંઘર્ષમાં અગ્રિમ યોગદાન આપનાર, વિશ્વને શાંતી, અહિંસા અને માનવીય ઉત્થાનનો માર્ગ ચિંધનાર જેનું જીવન માનવજાત માટે પ્રેરણારૂપ છે તેવા પુજ્ય બાપુને અને ભારતના પુર્વ વડાપ્રધાન લાલબહાદુર શાસ્ત્રીજીને જન્મ જયંતી નિમિત્તે શત્ શત્ વંદન. 🙏🙏🙏🙏🙏🙏🙏",positive
33,"ખોટા આરોપો,આંદોલન પૂરું કરવા માટે,જે માંગણી માટે પ્રદર્શનધરણા શાંતિપૂર્ણ રીતે છેલ્લા 56 વર્ષ થી થઈ રહ્યું હતું,ત્યાં સુધી સરકારે ધ્યાન ન આપ્યું,જેવું પ્રદર્શન હિંસક બન્યું એના પછી સરકાર હવે સોનમ વાંગચુક ને બલિનો બકરો બનાવે છે,કોઈ પણ રીતે યોગ્ય નથી,દેશના એક વિદ્વાન વૈજ્ઞાનિક,",positive
34,એ અદાભાષણ કરનેકી ઔર કીશીમે નહી હે તબીતો લોકોકે ગડસીલે ખાતેહે લોક મજાક ઉડાતેહે. હીન્દુ હિંસક ચોવીસ ધંટે હિનસા હિનસા ઔર હિનસા અરે મુરખ કભી કિશિકો પૂસતલે હિન્દુ કભી હિંસક હોતાહેકયા,positive
35,"આઈ લવ 'મોહમંદ' સામે 'જય મહાદેવ'ની પોસ્ટથી વિવાદ, બહિયલ ગામે હિંસક અથડામણ બાદ પોલીસ છાવણીમાં ફેરવાયું",positive
36,"Gandhinagar દહેગામના બહિયલમાં ગરબા મહોત્સવમાં પથ્થરમારો, બહિયલમાં બે જૂથ વચ્ચે હિંસક અથડામણ માતાજીની ગરબી ચાલી રહી હતી ત્યારે સામેવાળું ટોળું ધસી આવ્યું, ગરબીમાં પથ્થરમારો કરતાં કેટલાંક લોકોને ઈજા પહોંચી 30 થી 36 લોકોનું ટોળું ધસી આવ્યાનું જાણવા મળ્યું, લઘુમતી સમાજના ટોળાએ બે થી ત્રણ દુકાનોને આગ લગાવી દુકાનોમાં આગ લગાવીને લૂંટ પણ ચલાવી હોવાના આક્ષેપો, અનેક વાહનોમાં તોડફોડ પણ કરી હોવાના અહેવાલ ઘટનાની જાણ થતા પોલીસે ઘટના સ્થળે પહોંચી મામલો થાળે પાડ્યો, સ્થિતિને કાબૂમાં લેવા ટીયર ગેસના સેલ છોડ્યા બબાલ થવાનું ચોક્કસ કારણ જાણવા મળ્યું નથી, પોલીસે 30 જેટલા લોકોની અટકાયત કરી પૂછપરછ હાથ ધરી",positive
37,"Ladakh Protest : કેન્દ્ર શાસિત પ્રદેશ લદાખને પૂર્ણ રાજ્યનો દરજ્જો આપવા સહિતની માગ સાથેના હિંસક દેખાવોમાં 4 લોકોના મોત થયા છે, જ્યારે 50થી વધુ લોકો ઇજાગ્રસ્ત થયા છે. શાંતિ જાળવવા માટે તંત્ર દ્વારા લેહમાં કર્ફ્યૂ લાદવામાં આવ્યો છે. નોંધનીય છે કે, પર્યાવરણવિદ્ સોનમ વાંગચુક છેલ્લા 15 દિવસથી લદાખને પૂર્ણ રાજ્યનો દરજ્જો આપવાની માગ સાથે ભૂખ હડતાળ કરી રહ્યા હતા. ત્યારે આજે એટલે કે 24 સપ્ટેમ્બરે સોનમ વાંગચુકના સમર્થનમાં લેહમાં મોટી સંખ્યામાં વિદ્યાર્થીઓ માર્ગો પર ઊતરી આવ્યા હતા. આ દરમિયાન દેખાવકારોએ ઉગ્ર થઇ પોલીસ પર પથ્થરમારો કર્યો હતો. આ ઉપરાંત તેમણે ભાજપના કાર્યાલયને ફૂંકી માર્યું હતું અને CRPFના વાહન સહિત બીજા અનેક વાહનોને પણ આગચંપી કરી હતી. જે પછી સોનમ વાંગચુકે ભૂખ હડતાળ સમેટી લીધી છે. દેખાવકારોની ચાર મુખ્ય માગણીઓ 1) લદાખને પૂર્ણ રાજ્યનો દરજ્જો આપો. 2) લદાખને બંધારણની છઠ્ઠી અનુસૂચિમાં સામેલ કરો. 3) લદાખ માટે બે લોકસભા બેઠકો ફાળવો. 4) લદાખના આદિવાસીઓને અનુસૂચિત જનજાતિ (ST)નો દરજ્જો આપો. નોંધનીય છે કે, 5 ઓગસ્ટ, 2019 ના રોજ કલમ 370 નાબૂદ થયા પછી, જમ્મુ અને કાશ્મીરને બે ભાગમાં વહેંચવામાં આવ્યું હતું. જમ્મુ અને કાશ્મીર એક અલગ કેન્દ્રશાસિત પ્રદેશ બન્યો, જ્યારે લેહ અને કારગિલનો સમાવેશ કરતું લદાખ એક અલગ કેન્દ્રશાસિત પ્રદેશ બન્યો. હવે, લદાખ માટે સંપૂર્ણ રાજ્યનો દરજ્જો મેળવવા સહિતની માંગ કરાઇ રહી છે.",positive
38,"લેહલદ્દાખમાં ભાજપનું કાર્યાલય સળગાવી દીધું. 00000 લદ્દાખમાં રાજ્યનો દરજ્જો મેળવવાની માંગ સાથે હિંસક. પોલીસ સાથે અથડામણ થઈ, લાઠીચાર્જ. GEN Z પ્રદર્શનોકર્તાઓએ ભાજપ કાર્યાલયને આગ ચાંપી દીધી. વાહનોને પણ આગ ચાંપી. ભૂખ હડતાળ પર બેઠેલા વૈજ્ઞાનિક સોનમ વાંગચુકે શાંતિ જાળવવાની અપીલ કરી.",positive
39,"લદ્દાખને પૂર્ણ રાજ્યનો દરજ્જો આપવાની સાથે લેહમાં હિંસક પ્રદર્શન, ભાજપ કાર્યાલયને ભડકે બાળ્યું",positive
40,લદ્દાખને પૂર્ણ રાજ્યની માગ સાથે ચાલી રહેલું વિદ્યાર્થીઓનું આંદોલન લેહમાં હિંસક બન્યું!,positive
41,"લેહમાં વિદ્યાર્થીઓ અને પોલીસ વચ્ચે હિંસક અથડામણ, CRPF વાહનને આગ ચાંપી",positive
42,"Nepal Protests Gen Z સુરેન્દ્રનગરના પ્રવાસી નેપાળમાં આંદોલનમાં ફસાયા Mumbai Samachar નેપાળમાં પ્રવર્તી રહેલી અશાંત અને હિંસક પરિસ્થિતિ વચ્ચે ગુજરાતના અનેક પ્રવાસીઓ ફસાયા હોવાના અહેવાલ છે. સુરેન્દ્રનગરથી પશુપતિનાથ દર્શન કરવા ગયેલા દંપતી પણ ત્યાં સલવાઇ જતા સરકાર પાસે મદદ માંગતો વીડિયો ફરતો કર્યો હતો. નેપાળમાં ભ્રષ્ટાચાર અને સોશિયલ મીડિયા પર પ્રતિબંધ દ્વારા ભડકાવવામાં આવેલા જનરેશન ઝી આંદોલનની અનેક હિન્દુ ધાર્મિક સ્થળો હોવાથી ભારતભરમાંથી અનેક લોકો દર્શન માટે જતા હોય છે. ત્યારે સુરેન્દ્રનગરથી પણ લોકો પશુપતિનાથના દર્શને ગયા છે ત્યારે સુરેન્દ્રનગરથી પશુપતિનાથ ગયેલા દંપતી વિરેનભાઇ ડાભી અને તેમના પત્નિ ગૌરવીબેન નેપાળમાં હાલ અટવાઇ જતા સોશીયલ મીડિયામાં વીડિયો ફરતો કરી સરકાર પાસે મદદની માંગ કરી હતી. તેમણે ફરતા કરેલ વીડિયોમાં જણાવ્યા મુજબ અમે સુરેન્દ્રનગરથી પશુપતિનાથ દર્શને 4 તારીખે અમદાવાદથી નીકળી કાઠમાડુ 9 તારીખે પહોંચ્યા ત્યાં હોટલ ગૌશાળા આશ્રામમાં ઉતર્યા પછી તોફાનો ચાલુ થયા હતા. NepalUnrest NepalProtest GujaratTourists Pashupatinath Kathmandu IndianInNepal SafetyOfTourists NepalViolence MumbaiSamachar Nepal Unrest ,Nepal Protest ,Gujarat Tourists ,Pashupatinath ,Kathmandu ,Indian In Nepal ,Safety Of Tourists ,Nepal Violence ,Mumbai Samachar",positive
43,"નેપાળ બાદ ફ્રાન્સમાં હિંસક પ્રદર્શનો, 'બ્લૉક એવરીથિંગ'ના નારા સાથે રસ્તા પર ઉતરેલા 200ની ધરપકડ",positive
44,"Nepal : નેપાળમાં ભાવનગરના 40થી વધુ લોકો ફસાયા VTV Digital નેપાળમાં ભાવનગરના 40થી વધુ લોકો ફસાયા હતા. શહેર નારી ગામથી શ્રધ્ધાળુઓ નેપાળ પ્રવાસે ગયા હતા. નેપાળમાં હિંસક ઘટનાઓ થતાં લોકો ફસાયા છે. નેપાળમાં ફસાયેલા લોકોએ ધારાસભ્યનો સંપર્ક કર્યો હતો. ધારાસભ્ય જીતુ વાઘાણીએ તમામને સુરક્ષિત જગ્યા પર રહેવા જણાવ્યું હતું. નેપાળમાંથી ઝડપી બહાર નીકાળવામાં આવે તેવી માંગ કરવામાં આવી હતી. 298ના રોજ 43 લોકો પ્રવાસ માટે નેપાળ ગયા હતા. ડ્રાઈવર, રસોઈ સ્ટાફ અને મુસાફરો નેપાળમાં ફસાઈ ગયા છે.",positive
45,"નેપાળમાં ચાલી રહેલા હિંસક આંદોલનને કારણે ટીંટોઈ, તા.મોડાસાના નાગરિકો બિહારથી ભાડે કરેલી ગાડી સાથે ડ્રાઈવર સહિત પોખરા, નેપાળ ખાતે ફસાયેલા હોવાના સમાચાર પ્રાપ્ત થતાં, જિલ્લા વહીવટીતંત્ર દ્વારા તેમની સાથે ટેલિફોનિક વાતચીત કરતાં સુરક્ષિત હોવાની માહિતી છે.",positive
46,"તમારી આસપાસના તમામ લોકો માટે, તમને ઓળખતાચાહતાજાણતા તમામ લોકો માટે ક્ષોભજનકઅપમાનજનક પરિસ્થિતિ પેદા થતી હોય છે. તમારો સૂર્ય મધ્યાહ્ને હોય ત્યારે બીજા કેટલાય લોકો એના પ્રકાશમાં, પોતાની ઇચ્છા હોય કે ન હોય તો પણ, ઉજળા દેખાતા હોય છે; એ જ રીતે તમારા જીવનમાં અંધકાર છવાઈ જાય ત્યારે, તમારી રાત્રિ કૃષ્ણ પક્ષની બની જાય ત્યારે, તમારા જીવનમાં અમાસનો અંધકાર છવાઈ જાય ત્યારે, બીજા અનેક લોકો એ અંધકારમાં, પોતાની ઇચ્છા હોય કે ન હોય તો પણ, ખોવાઈ જતા હોય છે. આપણી પડતી વખતે, આપણી અમાસ વખતે આપણાથી દૂર થઈ જતા લોકો પ્રત્યે દૃષ્ટિકોણ બદલીને જોઈશું તો સમજાશે કે એ લોકોનો કોઈ વાંક નથી. તેઓ કંઈ વિશ્વાસઘાતી નથી, તમારા શત્રુઓ નથી. તમારા પર તૂટી પડેલા દુખના પહાડને કારણે એમને જે વેદના થઈ છે તે વેદનાનો ઉંહકાર તમને સંભળાઈ જાય અને તમે વધારે દુખી થઈ જાઓ એવા ભયથી તેઓ તમારાથી અંતર રાખતા થઈ જાય છે. તમને આ લોકો સ્વાર્થી લાગે છે એનું બીજું પણ એક કારણ છે. હકીકતમાં તેઓ સ્વાર્થી નથી હોતા. પણ તમને એવું લાગે છે કારણ કે પડતીના તબક્કામાં બીજાઓ પાસેની તમારી અપેક્ષા ખૂબ વધી જતી હોય છે. નૉર્મલ સંજોગોમાં તમારી પાસે સો કિલોનો બોજ હોય ત્યારે તે ઊંચકી લેવા માટે સો જણ તમારી આસપાસ હોય છે દરેક જણ તમારો એકએક કિલોનો બોજ ઊંચકી લેશે જે એમના માટે ભારરૂપ નથી. પણ પડતીના સંજોગોમાં એમાંના નેવું જણ તમારાથી દૂર થઈ ગયા હોય એટલે તમે અપેક્ષા રાખતા થઈ જાઓ કે જે દસ જણ નજીક છે તે સૌ દસદસ કિલો બોજ ઉંચકી લે અને તમને ભારમુક્ત કરે. હવે જેમની કૅપેસિટી કે ઇચ્છા તમારો એકાદ કિલો બોજ ઉંચકવા જેટલી હોય એ બહુ બહુ તો બીજો અડધો કે એક કે બે કિલો વધારાનો બોજ ઊંચકી લે પણ પોતાના ગજા કરતાં અનેકગણો બોજ ઊંચકીને કેવી રીતે તમારો ભાર હળવો કરે? તમારી અપેક્ષા પ્રમાણે તેઓ દસદસ કિલોનો બોજ નથી ઉંચકતા ત્યારે તમને આવા કપરા સંજોગોમાં સાથ આપવા માટે તમારી પાસે બચી ગયેલા દસ ટકા શુભેચ્છકો માટે પણ અણગમો થવા માંડે છે. આમાં જેમ વાંક એ લોકોનો નથી એમ તમારો પણ નથી તમે તો વખાના માર્યા છો, તમારી બુદ્ધિ ભ્રમિત થઈ જાય એવો કાળ ચાલી રહ્યો છે. વાંક પરિસ્થિતિનો છે, સંજોગોનો છે. બસ, આટલું યાદ રાખવાનું. આજનો વિચાર નિર્મળ અને પવિત્ર હૃદયમાં સરસ્વતી સ્વયં પ્રગટે છે. રામચરિત માનસ ( સૌરભ શાહના આવા સેંકડો લેખો વાંચવા Newspremi .comના આર્કાઇવ્ઝનો લાભ લો. સૌરભ શાહના રોજેરોજ લખાતા લેખોની જાણકારી મેળવવા વૉટ્સઍપ નંબર 090040 99112 પર તમારું નામ મોકલીને સૌરભ શાહના ગ્રુપમાં જોડાઈ જાઓ.)",positive
47,"67 V) ધર્મ, ભાષા અને પ્રદેશના આધારે ભેદભાવનો અંત લાવવો ધાર્મિક, ભાષાકીય અને પ્રાદેશિક અથવા વિભાગીય વિવિધતાઓને પાર કરીને, ભારતના તમામ લોકોમાં સંવાદિતા અને સામાન્ય ભાઈચારાની ભાવનાને પ્રોત્સાહન આપવા, મહિલાઓના ગૌરવને અપમાનજનક પ્રથાઓનો ત્યાગ કરવો, લોકોમાં વ્યાપક વિવિધતાને ધ્યાનમાં રાખીને એક ધ્વજ અને એક નાગરિકતાની હાજરી નાગરિકોમાં ભાઈચારાની ભાવનાને મજબૂત બનાવે છે. તે જણાવે છે કે લોકોએ સાંકડી સાંસ્કૃતિક ભેદભાવોથી ઉપર ઉઠવું જોઈએ અને સામૂહિક પ્રવૃત્તિના તમામ ક્ષેત્રોમાં શ્રેષ્ઠતા તરફ પ્રયત્નશીલ રહેવું જોઈએ. VI) પર્યાવરણનું રક્ષણ કરવું અને પ્રાણીઓ પ્રત્યે દયાળુ બનવું જંગલો, તળાવો, નદીઓ અને વન્યજીવન સહિત કુદરતી પર્યાવરણનું રક્ષણ અને સુધારણા કરવી, અને જીવંત પ્રાણીઓ પ્રત્યે કરુણા રાખવી. આ કુદરતી ભંડાર આપણા દેશની સૌથી મૂલ્યવાન સંપત્તિ છે, તેથી તેનું રક્ષણ કરવું એ દરેક નાગરિકની ફરજ છે. વધતું પ્રદૂષણ, મોટા પાયે વનનાબૂદી પૃથ્વી પરના માનવ જીવનને ભારે નુકસાન પહોંચાડી રહી છે. વધતી જતી કુદરતી આફતો આનો પુરાવો છે. આ બાબત કલમ 48A એટલે કે રાજ્ય નીતિના નિર્દેશક સિદ્ધાંતો હેઠળની અન્ય બંધારણીય જોગવાઈઓમાં પણ મજબૂત બને છે, જે જણાવે છે કે રાજ્ય પર્યાવરણનું રક્ષણ અને સુધારો કરશે અને જંગલો અને વન્યજીવનનું રક્ષણ કરશે. VII) વૈજ્ઞાનિક વિચારસરણી વિકસાવવી વૈજ્ઞાનિક સ્વભાવ, માનવતાવાદ અને પૂછપરછ અને સુધારાની ભાવના વિકસાવવી એ જાણીતી હકીકત છે કે વિશ્વભરના અનુભવો અને વિકાસમાંથી શીખવું એ વ્યક્તિના પોતાના વિકાસ માટે જરૂરી છે. ઝડપથી બદલાતી દુનિયા સાથે તાલમેલ રાખવા માટે વૈજ્ઞાનિક સ્વભાવ અને પૂછપરછની ભાવનાનું રક્ષણ અને પ્રોત્સાહન આપવું એ દરેક નાગરિકની ફરજ છે.",positive
48,"પાકિસ્તાનના વડાપ્રધાન શેહબાઝ શરીફે મોડી રાત્રે રાષ્ટ્રને સંબોધન કરતાં, ભારતીય સશસ્ત્ર દળોના હાથે મળેલી અપમાનજનક હારને છુપાવવાનો પ્રયાસ કર્યો. તેમણે સૈન્ય નેતૃત્વ અને અમેરિકા, ચીન, તુર્કી અને સાઉદી અરેબિયા જેવા દેશોને યુદ્ધવિરામ સુનિશ્ચિત કરવા બદલ આભાર માન્યો. તેમણે નિર્લજ્જપણે યુદ્ધમાં વિજયનો દાવો કર્યો અને કહ્યું કે પાકિસ્તાનની સાર્વભૌમત્વનું રક્ષણ થયું છે. વધુમાં, તેમણે પાકિસ્તાની સેના દ્વારા યુદ્ધવિરામના ઉલ્લંઘનનો ઇનકાર કર્યો, ભલે તેનાથી વિપરીત પુરાવા હાજર છે. IndiaPakistanWar2025",positive
